Web Search interest: stock
United States; Oct 2013 - Nov 2015

Interest over time
Week,stock
Albany-Schenectady-Troy NY,65
Peoria-Bloomington IL,65
Ft. Myers-Naples FL,65
Chicago IL,65
Washington DC (Hagerstown MD),65
Eureka CA,65
Duluth MN-Superior WI,64
Kansas City MO,64
Chico-Redding CA,64
Pittsburgh PA,64
Boise ID,64
Lafayette IN,63
Baltimore MD,63
Hartford & New Haven CT,63
Elmira NY,63
Charlottesville VA,63
Binghamton NY,63
St. Louis MO,62
Medford-Klamath Falls OR,62
Ottumwa IA-Kirksville MO,62
Santa Barbara-Santa Maria-San Luis Obispo CA,62
Springfield MO,62
Columbia-Jefferson City MO,62
Burlington VT-Plattsburgh NY,61
Austin TX,61
Colorado Springs-Pueblo CO,61
Tampa-St. Petersburg (Sarasota) FL,60
Houston TX,60
Missoula MT,60
Providence RI-New Bedford MA,60
Buffalo NY,60
Grand Junction-Montrose CO,60
Mankato MN,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
Wilmington NC,59
Abilene-Sweetwater TX,59
Cincinnati OH,59
Richmond-Petersburg VA,59
Jonesboro AR,59
Odessa-Midland TX,59
Topeka KS,59
Louisville KY,59
Salisbury MD,59
Wheeling WV-Steubenville OH,59
Charlotte NC,58
Milwaukee WI,58
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58
Tucson (Sierra Vista) AZ,58
Bluefield-Beckley-Oak Hill WV,58
Johnstown-Altoona PA,58
Rockford IL,58
Erie PA,58
Watertown NY,58
Indianapolis IN,58
Anchorage AK,58
Phoenix AZ,58
Bowling Green KY,57
Detroit MI,57
Wausau-Rhinelander WI,57
Oklahoma City OK,57
Raleigh-Durham (Fayetteville) NC,57
Lake Charles LA,57
Rochester NY,57
Evansville IN,57
Davenport IA-Rock Island-Moline IL,56
Orlando-Daytona Beach-Melbourne FL,56
Sioux City IA,56
Wichita Falls TX & Lawton OK,55
Reno NV,55
Jackson TN,55
Utica NY,55
Sherman TX-Ada OK,55
Amarillo TX,55
Huntsville-Decatur (Florence) AL,55
Sacramento-Stockton-Modesto CA,55
Portland-Auburn ME,55
Honolulu HI,55
Cleveland-Akron (Canton) OH,55
Champaign & Springfield-Decatur IL,55
Knoxville TN,55
Traverse City-Cadillac MI,55
Idaho Falls-Pocatello ID,55
Terre Haute IN,55
Harrisburg-Lancaster-Lebanon-York PA,55
Miami-Ft. Lauderdale FL,55
Sioux Falls(Mitchell) SD,54
Omaha NE,54
Syracuse NY,54
Columbus GA,54
Grand Rapids-Kalamazoo-Battle Creek MI,54
Madison WI,54
Tri-Cities TN-VA,54
Panama City FL,54
South Bend-Elkhart IN,54
Wilkes Barre-Scranton PA,54
Des Moines-Ames IA,54
Nashville TN,54
Flint-Saginaw-Bay City MI,54
Bangor ME,53
Youngstown OH,53
Las Vegas NV,53
Monterey-Salinas CA,53
Lincoln & Hastings-Kearney NE,53
Savannah GA,53
Gainesville FL,53
Ft. Wayne IN,53
Atlanta GA,52
Memphis TN,52
Lansing MI,52
Charleston SC,52
Greenville-New Bern-Washington NC,52
Alexandria LA,52
Eugene OR,52
Jacksonville FL,52
Greensboro-High Point-Winston Salem NC,52
Mobile AL-Pensacola (Ft. Walton Beach) FL,52
Harrisonburg VA,51
Clarksburg-Weston WV,51
Toledo OH,51
Norfolk-Portsmouth-Newport News VA,51
Columbia SC,51
Birmingham AL,51
Spokane WA,51
Dothan AL,51
Columbus OH,51
Springfield-Holyoke MA,51
Little Rock-Pine Bluff AR,51
Tulsa OK,50
Dayton OH,50
Fresno-Visalia CA,50
Tyler-Longview(Lufkin & Nacogdoches) TX,50
Lafayette LA,50
Baton Rouge LA,50
New Orleans LA,50
Albany GA,50
Waco-Temple-Bryan TX,49
Chattanooga TN,49
Biloxi-Gulfport MS,49
Palm Springs CA,49
La Crosse-Eau Claire WI,49
Albuquerque-Santa Fe NM,49
Fargo-Valley City ND,49
Green Bay-Appleton WI,49
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Tallahassee FL-Thomasville GA,48
Lexington KY,48
Yakima-Pasco-Richland-Kennewick WA,48
Charleston-Huntington WV,48
Corpus Christi TX,48
Florence-Myrtle Beach SC,47
Monroe LA-El Dorado AR,47
Lubbock TX,46
Macon GA,46
Wichita-Hutchinson KS,45
Shreveport LA,45
Jackson MS,45
San Antonio TX,45
Montgomery (Selma) AL,44
Columbus-Tupelo-West Point MS,44
Hattiesburg-Laurel MS,41
Bakersfield CA,41
Yuma AZ-El Centro CA,39
Augusta GA,35
El Paso TX,35
Portland OR,32
Harlingen-Weslaco-Brownsville-McAllen TX,23
Roanoke-Lynchburg VA,18
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Victoria TX,0
St. Joseph MO,0
Greenwood-Greenville MS,0
Meridian MS,0
North Platte NE,0
Juneau AK,0
Laredo TX,0
Great Falls MT,0
Helena MT,0
Glendive MT,0


Top cities for stock
Town/City,stock
San Francisco,100
New York,97
San Jose,97
San Diego,86
Seattle,84
Boston,83
Houston,76
Denver,75
Washington,75
Los Angeles,75
Chicago,75
Austin,72
Dallas,71
Phoenix,70
Charlotte,68



Top searches for stock
stock market,100
apple,30
stocks,30
apple stock,30
google stock,25
yahoo stock,15
stock quote,15
facebook stock,15
stock prices,10
tesla,10
amazon stock,10
stock photos,10
tesla stock,10
dow,10
ford stock,10
aapl stock,10
aapl,10
walmart stock,5
stock quotes,5
twitter stock,5
stock market today,5
fb stock,5
stock market crash,5
yahoo finance,5
dow jones,5
stock photo,5
disney stock,5
apple stock price,5
netflix stock,5
stock futures,5
ebay stock,5
stock market game,5
ge stock,5
microsoft stock,5
samsung stock,5
alibaba stock,5
alibaba,5
nasdaq,5
t stock,5
ibm stock,5
stock market news,5
google stock price,5
fidelity,5
tsla,5
tsla stock,5
verizon stock,5
free stock photos,5
google finance,5
baba stock,5
goog stock,5



Rising searches for stock
baba stock,Breakout
alibaba stock,+3,900%
alibaba,+3,800%
tsla,+250%
tsla stock,+250%
twitter stock,+250%
tesla,+180%
tesla stock,+180%
disney stock,+70%
amazon stock,+50%



